week,time range,weather,temp,is_holiday,flow of cars
7,2,0,23,0,498
7,2,0,23,0,481
7,2,0,23,0,575
7,2,0,23,0,529
7,2,0,23,0,636
7,2,0,23,0,541
7,2,0,23,0,504
7,2,0,23,0,544
7,2,0,23,0,756
7,2,0,23,0,680
7,2,0,23,0,526
7,2,0,14,0,870
7,2,0,14,0,641
7,2,0,14,0,770
7,2,0,14,0,592
7,2,0,14,0,555
7,2,0,14,0,527
7,2,0,14,0,468
7,2,0,14,0,534
7,2,0,14,0,452
7,2,0,14,0,515
7,2,0,14,0,392
7,2,0,14,0,393
7,2,0,14,0,405
7,2,0,14,0,341
7,2,0,14,0,364
7,2,0,14,0,370
7,2,0,14,0,304
7,2,0,14,0,292
7,2,0,14,0,284
7,2,0,14,0,301
7,2,0,14,0,267
7,2,0,14,0,227
7,2,0,14,0,229
7,2,0,14,0,169
1,1,0,14,0,167
1,1,0,14,0,185
1,1,0,14,0,223
1,1,0,14,0,179
1,1,0,14,0,129
1,1,0,14,0,125
1,1,0,14,0,111
1,1,0,14,0,90
1,1,0,14,0,123
1,1,0,14,0,106
1,1,0,14,0,131
1,1,0,14,0,94
1,1,0,14,0,58
1,1,0,14,0,66
1,1,0,14,0,45
1,1,0,14,0,111
1,1,0,14,0,57
1,1,0,14,0,115
1,1,0,14,0,64
1,1,0,14,0,83
1,1,0,14,0,67
1,1,0,14,0,72
1,1,0,14,0,99
1,1,0,14,0,114
1,2,0,27,0,130
1,2,0,27,0,113
1,2,0,27,0,355
1,2,0,27,0,455
1,2,0,27,0,585
1,2,0,27,0,803
1,2,0,27,0,826
1,2,0,27,0,780
1,2,0,27,0,627
1,2,0,27,0,604
1,2,0,27,0,652
1,2,0,27,0,492
1,2,0,27,0,486
1,2,0,27,0,537
1,2,0,27,0,462
1,2,0,27,0,444
1,2,0,27,0,399
1,2,0,27,0,490
1,2,0,27,0,437
1,2,0,27,0,474
1,2,0,27,0,473
1,2,0,27,0,398
1,2,0,27,0,503
1,2,0,27,0,446
1,2,0,27,0,493
1,2,0,27,0,342
1,2,0,27,0,360
1,2,0,27,0,404
1,2,0,27,0,378
1,2,0,27,0,400
1,2,0,27,0,465
1,2,0,27,0,492
1,2,0,27,0,437
1,2,0,27,0,478
1,2,0,27,0,405
1,2,0,27,0,434
1,2,0,27,0,382
1,2,0,27,0,503
1,2,0,27,0,431
1,2,0,27,0,437
1,2,0,27,0,624
1,2,0,27,0,628
1,2,0,27,0,551
1,2,0,27,0,531
1,2,0,27,0,600
1,2,0,27,0,708
1,2,0,27,0,576
1,2,0,27,0,560
1,2,1,18,0,712
1,2,1,18,0,708
1,2,1,18,0,682
1,2,1,18,0,644
1,2,1,18,0,599
1,2,1,18,0,498
1,2,1,18,0,487
1,2,1,18,0,507
1,2,1,18,0,405
1,2,1,18,0,438
1,2,1,18,0,407
1,2,1,18,0,375
1,2,1,18,0,337
1,2,1,18,0,410
1,2,1,18,0,400
1,2,1,18,0,421
1,2,1,18,0,366
1,2,1,18,0,301
1,2,1,18,0,273
1,2,1,18,0,238
1,2,1,18,0,243
1,2,1,18,0,228
1,2,1,18,0,123
1,2,1,18,0,179
2,1,1,18,0,185
2,1,1,18,0,175
2,1,1,18,0,149
2,1,1,18,0,138
2,1,1,18,0,167
2,1,1,18,0,108
2,1,1,18,0,120
2,1,1,18,0,105
2,1,1,18,0,113
2,1,1,18,0,127
2,1,1,18,0,89
2,1,1,18,0,99
2,1,1,18,0,140
2,1,1,18,0,128
2,1,1,18,0,61
2,1,1,18,0,103
2,1,1,18,0,92
2,1,1,18,0,95
2,1,1,18,0,74
2,1,1,18,0,80
2,1,1,18,0,41
2,1,1,18,0,31
2,1,1,18,0,77
2,1,1,18,0,91
2,2,1,29,0,120
2,2,1,29,0,141
2,2,1,29,0,387
2,2,1,29,0,568
2,2,1,29,0,645
2,2,1,29,0,677
2,2,1,29,0,932
2,2,1,29,0,763
2,2,1,29,0,657
2,2,1,29,0,540
2,2,1,29,0,478
2,2,1,29,0,581
2,2,1,29,0,438
2,2,1,29,0,442
2,2,1,29,0,522
2,2,1,29,0,461
2,2,1,29,0,487
2,2,1,29,0,440
2,2,1,29,0,415
2,2,1,29,0,482
2,2,1,29,0,459
2,2,1,29,0,384
2,2,1,29,0,450
2,2,1,29,0,501
2,2,1,29,0,448
2,2,1,29,0,528
2,2,1,29,0,442
2,2,1,29,0,384
2,2,1,29,0,444
2,2,1,29,0,436
2,2,1,29,0,376
2,2,1,29,0,437
2,2,1,29,0,443
2,2,1,29,0,488
2,2,1,29,0,516
2,2,1,29,0,523
2,2,1,29,0,328
2,2,1,29,0,488
2,2,1,29,0,417
2,2,1,29,0,384
2,2,1,29,0,590
2,2,1,29,0,642
2,2,1,29,0,691
2,2,1,29,0,639
2,2,1,29,0,652
2,2,1,29,0,699
2,2,1,29,0,639
2,2,1,29,0,602
2,2,3,19,0,671
2,2,3,19,0,706
2,2,3,19,0,735
2,2,3,19,0,590
2,2,3,19,0,649
2,2,3,19,0,525
2,2,3,19,0,503
2,2,3,19,0,486
2,2,3,19,0,385
2,2,3,19,0,387
2,2,3,19,0,369
2,2,3,19,0,418
2,2,3,19,0,389
2,2,3,19,0,380
2,2,3,19,0,296
2,2,3,19,0,387
2,2,3,19,0,420
2,2,3,19,0,274
2,2,3,19,0,333
2,2,3,19,0,298
2,2,3,19,0,259
2,2,3,19,0,239
2,2,3,19,0,186
2,2,3,19,0,196
3,1,3,19,0,168
3,1,3,19,0,193
3,1,3,19,0,220
3,1,3,19,0,215
3,1,3,19,0,199
3,1,3,19,0,121
3,1,3,19,0,137
3,1,3,19,0,101
3,1,3,19,0,89
3,1,3,19,0,100
3,1,3,19,0,116
3,1,3,19,0,85
3,1,3,19,0,142
3,1,3,19,0,151
3,1,3,19,0,96
3,1,3,19,0,106
3,1,3,19,0,128
3,1,3,19,0,149
3,1,3,19,0,177
3,1,3,19,0,43
3,1,3,19,0,72
3,1,3,19,0,95
3,1,3,19,0,39
3,1,3,19,0,140
3,2,3,27,0,124
3,2,3,27,0,186
3,2,3,27,0,389
3,2,3,27,0,544
3,2,3,27,0,550
3,2,3,27,0,606
3,2,3,27,0,828
3,2,3,27,0,732
3,2,3,27,0,651
3,2,3,27,0,614
3,2,3,27,0,534
3,2,3,27,0,471
3,2,3,27,0,467
3,2,3,27,0,422
3,2,3,27,0,487
3,2,3,27,0,508
3,2,3,27,0,469
3,2,3,27,0,496
3,2,3,27,0,428
3,2,3,27,0,413
3,2,3,27,0,471
3,2,3,27,0,433
3,2,3,27,0,444
3,2,3,27,0,383
3,2,3,27,0,380
3,2,3,27,0,410
3,2,3,27,0,443
3,2,3,27,0,396
3,2,3,27,0,381
3,2,3,27,0,408
3,2,3,27,0,435
3,2,3,27,0,451
3,2,3,27,0,483
3,2,3,27,0,502
3,2,3,27,0,442
3,2,3,27,0,386
3,2,3,27,0,493
3,2,3,27,0,473
3,2,3,27,0,472
3,2,3,27,0,482
3,2,3,27,0,597
3,2,3,27,0,639
3,2,3,27,0,592
3,2,3,27,0,592
3,2,3,27,0,626
3,2,3,27,0,609
3,2,3,27,0,664
3,2,3,27,0,667
3,2,3,19,0,766
3,2,3,19,0,674
3,2,3,19,0,566
3,2,3,19,0,699
3,2,3,19,0,571
3,2,3,19,0,506
3,2,3,19,0,497
3,2,3,19,0,518
3,2,3,19,0,367
3,2,3,19,0,415
3,2,3,19,0,474
3,2,3,19,0,509
3,2,3,19,0,426
3,2,3,19,0,377
3,2,3,19,0,421
3,2,3,19,0,391
3,2,3,19,0,376
3,2,3,19,0,346
3,2,3,19,0,297
3,2,3,19,0,279
3,2,3,19,0,329
3,2,3,19,0,237
